Sentence ID,File Name,Token ID,Form,Misc,Lemma,UPOS,XPOS,Features,Head,Deprel,Deps
3,DD-K35.csv,32,paydāg,apparent,paydāg,ADJ,_,_,1,acl:relcl,_
4,DD-K35.csv,38,niyābag,fitting,niyābag,ADJ,_,_,40,obl,_
6,DD-K35.csv,55,čimīg,reasonable,čimīg,ADJ,_,_,0,root,_
7,DD-K35.csv,12,dānāg,wise,dānāg,ADJ,_,_,19,obl,_
9,DD-K35.csv,30,čimīg,reasonable,čimīg,ADJ,_,_,0,root,_
11,DD-K35.csv,67,šādag,happy,šādag,ADJ,_,_,41,acl:relcl,42:acl:relcl
12,DD-K35.csv,4,kāmag,desirable,kāmag,ADJ,_,_,1,acl:relcl,_
14,DD-K35.csv,39,dušxwār,disagreeable,dušxwār,ADJ,_,_,41,xcomp,_
15,DD-K35.csv,8,šnāxtag,popular,šnāxtag,ADJ,_,_,26,advcl,_
15,DD-K35.csv,20,pāzag,sincere,pāzag,ADJ,_,_,26,advcl,_
15,DD-K35.csv,25,ābrōyīg,honourable,ābrōyīg,ADJ,_,_,26,xcomp,_
15,DD-K35.csv,33,ēwāzīg,sole,ēwāzīg,ADJ,_,_,34,advcl,31:acl
15,DD-K35.csv,40,rāmišnīg,delighted,rāmišnīg,ADJ,_,_,42,xcomp,21:acl
15,DD-K35.csv,45,meh,greater,meh,ADJ,Degree=Cmp,Degree=Cmp,50,xcomp,44:acl
16,DD-K35.csv,5,kāmag,desirable,kāmag,ADJ,_,_,0,root,_
17,DD-K35.csv,3,ābrōyīg,honourable,ābrōyīg,ADJ,_,_,4,xcomp,6:acl|12:acl
17,DD-K35.csv,11,abarīg,superior,abarīg,ADJ,_,_,12,nmod,_
19,DD-K35.csv,6,čimīgtar,justified,čimīg,ADJ,Degree=Cmp,Degree=Cmp,0,root,_
23,DD-K35.csv,13,aniyāz,without the need,aniyāz,ADJ,_,_,15,advcl,_
24,DD-K35.csv,17,se_sālag,three-year (due?),se-sālag,ADJ,_,_,12,nmod,_
24,DD-K35.csv,28,awizīrišnīg,indispensable,awizīrišnīg,ADJ,_,_,24,acl:relcl,_
24,DD-K35.csv,40,frēzwānīgtar,bound,frēzwānīg,ADJ,Degree=Cmp|Typo=Yes,Degree=Cmp|Typo=Yes,30,acl:relcl,_
26,DD-K35.csv,12,ǰudāg,separate,ǰudāg,ADJ,_,_,15,xcomp,_
26,DD-K35.csv,16,čimīgtar,reasonable,čimīg,ADJ,Degree=Cmp,Degree=Cmp,17,xcomp,_
29,DD-K35.csv,28,weh,better,weh,ADJ,Degree=Cmp,Degree=Cmp,26,acl:relcl,_
30,DD-K35.csv,22,mādagwar,principal,mādagwar,ADJ,_,_,23,obl,_
33,DD-K35.csv,10,rōšn,clear,rōšn,ADJ,_,_,12,xcomp,_
33,DD-K35.csv,38,pargūd,freed,pargūd,ADJ,Tense=Past|Subcat=Intr|VerbForm=Part,Tense=Past|Subcat=Intr|VerbForm=Part,14,advcl,30:acl
36,DD-K35.csv,4,mādayāntar,essential,mādayān,ADJ,Degree=Cmp,Degree=Cmp,5,xcomp,2:acl
37,DD-K35.csv,20,hušōn,of good style,hušōn,ADJ,_,_,51,advcl,_
37,DD-K35.csv,32,kam_āgāhdān,poorly educated,kam-āgāhdān,ADJ,_,_,30,nmod,_
37,DD-K35.csv,46,rōšntar,clear,rōšn,ADJ,Degree=Cmp,Degree=Cmp,35,acl:relcl,_
41,DD-K35.csv,33,niyābag,fitting,niyābag,ADJ,_,_,0,root,_
43,DD-K35.csv,21,ǰuttar,different,ǰuttar,ADJ,Degree=Cmp,Degree=Cmp,14,acl:relcl,_
44,DD-K35.csv,19,weh,better,weh,ADJ,Degree=Cmp,Degree=Cmp,20,xcomp,4:acl
44,DD-K35.csv,25,meh,greater,meh,ADJ,Degree=Cmp,Degree=Cmp,28,xcomp,4:acl
47,DD-K35.csv,5,hamband,connected,hamband,ADJ,_,_,0,root,_
50,DD-K35.csv,5,meh,greater,meh,ADJ,Degree=Cmp,Degree=Cmp,0,root,_
52,DD-K35.csv,5,mēnōyīg,spiritual,mēnōyīg,ADJ,_,_,14,advcl,2:acl
52,DD-K35.csv,14,kōxšāg,fighting,kōxšāg,ADJ,_,_,0,root,_
54,DD-K35.csv,8,winnārāg,organising,winnārāg,ADJ,_,_,0,root,_
63,DD-K35.csv,5,pursīd,asked,pursīd,ADJ,Tense=Pres|VerbForm=Part|Subcat=Tran,Tense=Pres|VerbForm=Part|Subcat=Tran,0,root,_
67,DD-K35.csv,12,ōstīgāntar,firm,ōstīgān,ADJ,Degree=Cmp,Degree=Cmp,13,advcl,_
67,DD-K35.csv,30,abd,wonderful,abd,ADJ,_,_,33,advcl,29:acl
67,DD-K35.csv,35,wēnābdāg,apparent,wēnābdāg,ADJ,_,_,17,acl:relcl,_
68,DD-K35.csv,5,paydāg,clear,paydāg,ADJ,_,_,0,root,_
71,DD-K35.csv,6,spurrīg,perfect,spurrīg,ADJ,_,_,25,advcl,_
74,DD-K35.csv,12,nazdīktom,near,nazdīk,ADJ,Degree=Sup,Degree=Sup,0,root,_
77,DD-K35.csv,79,frayādāg,supportive,frayādāg,ADJ,_,_,77,acl:relcl,_
80,DD-K35.csv,2,frēzwānīg,obligatory,frēzwānīg,ADJ,_,_,0,root,_
81,DD-K35.csv,88,mehmān,contained,mehmān,ADJ,_,_,89,xcomp,84:acl
83,DD-K35.csv,7,parwastag,connected,parwastag,ADJ,_,_,0,root,_
88,DD-K35.csv,12,frašgirdīg,eternal,frašgirdīg,ADJ,_,_,10,nmod,_
90,DD-K35.csv,10,purr_pās,watchful,purr-pās,ADJ,_,_,0,root,_
91,DD-K35.csv,19,šnāxtag,known,šnāxtag,ADJ,_,_,20,nmod,_
91,DD-K35.csv,20,rawāgēnīdār,achiever,rawāgēnīdār,ADJ,_,_,0,root,_
92,DD-K35.csv,14,ōstīgāntar,secured,ōstīgāntar,ADJ,Degree=Cmp,Degree=Cmp,4,advcl,_
94,DD-K35.csv,4,mazdēsn,Mazdean,mazdēsn,ADJ,_,_,5,nmod,_
96,DD-K35.csv,8,druyist,whole,drust,ADJ,_,_,9,xcomp,3:acl
103,DD-K35.csv,5,pursīd,asked,pursīd,ADJ,Tense=Pres|VerbForm=Part|Subcat=Tran,Tense=Pres|VerbForm=Part|Subcat=Tran,0,root,_
106,DD-K35.csv,37,hāwand,similar,hāwand,ADJ,_,_,41,obl,_
108,DD-K35.csv,4,wardišnīg,shifting,wardišnīg,ADJ,_,_,9,xcomp,_
112,DD-K35.csv,2,mēnōyīg,spiritual,mēnōyīg,ADJ,_,_,7,advcl,_
112,DD-K35.csv,7,ēwar,certain,ēwar,ADJ,_,_,0,root,_
116,DD-K35.csv,5,ǰahišnīg,happening,ǰahišnīg,ADJ,_,_,30,advcl,_
121,DD-K35.csv,16,padisārīg,snaffled,padisārīg,ADJ,_,_,17,advcl,_
123,DD-K35.csv,24,paydāg,obvious,paydāg,ADJ,_,_,0,root,_
124,DD-K35.csv,7,pursīd,asked,pursīd,ADJ,Tense=Pres|VerbForm=Part|Subcat=Tran,Tense=Pres|VerbForm=Part|Subcat=Tran,0,root,_
126,DD-K35.csv,39,abrādarōd,unrivalled,abrādarōd,ADJ,_,_,30,acl:relcl,_
129,DD-K35.csv,9,nēk,good,nēk,ADJ,_,_,7,ccomp,_
136,DD-K35.csv,10,widerān,dying,widardan,ADJ,_,_,12,xcomp,8:acl
143,DD-K35.csv,8,ēwar,certain,ēwar,ADJ,_,_,0,root,_
144,DD-K35.csv,13,ham_kirbag,consubstantial (of good deeds),ham-kirbag,ADJ,_,_,0,root,_
145,DD-K35.csv,12,hāwand,similar,hāwand,ADJ,_,_,0,root,_
146,DD-K35.csv,17,hučihrtar,beautiful,hučihr,ADJ,Degree=Cmp,Degree=Cmp,0,root,_
147,DD-K35.csv,37,hučihrtar,beautiful,hučihr,ADJ,Degree=Cmp|Typo=Yes,Degree=Cmp|Typo=Yes,41,xcomp,_
148,DD-K35.csv,7,pursīd,asked,pursīd,ADJ,Tense=Pres|VerbForm=Part|Subcat=Tran,Tense=Pres|VerbForm=Part|Subcat=Tran,0,root,_
149,DD-K35.csv,7,ǰuttar,different,ǰuttar,ADJ,Degree=Cmp,Degree=Cmp,0,root,_
150,DD-K35.csv,9,mādagwartar,essential,mādagwar,ADJ,Degree=Cmp,Degree=Cmp,0,root,_
151,DD-K35.csv,7,mādagwartar,essential,mādagwartar,ADJ,Degree=Cmp,Degree=Cmp,0,root,_
156,DD-K35.csv,7,pursīd,asked,pursīd,ADJ,Tense=Pres|VerbForm=Part|Subcat=Tran,Tense=Pres|VerbForm=Part|Subcat=Tran,0,root,_
156,DD-K35.csv,25,zīndag,alive,zīndag,ADJ,_,_,22,advcl,_
158,DD-K35.csv,4,zīndag,alive,zīndag,ADJ,_,_,20,advcl,_
158,DD-K35.csv,27,abzāyīd,grown,abzāyīd,ADJ,Subcat=Intr|Tense=Past|VerbForm=Part,Subcat=Intr|Tense=Past|VerbForm=Part,28,xcomp,22:acl
230,DD-K35.csv,21,dasthammōg,handtame,dast-hammōg,ADJ,_,_,15,acl:relcl,_
240,DD-K35.csv,4,xward,eat,xward,ADJ,Tense=Past|VerbForm=Part|Subcat=Tran,Tense=Past|VerbForm=Part|Subcat=Tran,5,xcomp,_
246,DD-K35.csv,16,wēnišnīg,visible,wēnišnīg,ADJ,_,_,0,root,_
270,DD-K35.csv,5,homānāg,similar,homānāg,ADJ,_,_,75,advcl,_
270,DD-K35.csv,14,frāx,wide,frāx,ADJ,_,_,11,acl:relcl,_
270,DD-K35.csv,18,bārīk,thin,bārīk,ADJ,_,_,11,acl:relcl,_
329,DD-K35.csv,3,hangōšīdag,similar,hangōšīdag,ADJ,_,_,0,root,_
329,DD-K35.csv,12,aǰomā,unconnected,aǰomā,ADJ,_,_,9,acl:relcl,_
401,DD-K35.csv,22,kāhišnīg,diminishing,kāhišnīg,ADJ,Typo=Yes,Typo=Yes,25,nsubj,_
401,DD-K35.csv,25,hamhangōšīdag,equivalent of each other,hamhangōšīdag,ADJ,_,_,0,root,_
Dk5-B-01_sentence_2,Dk5-B-01_mptf.csv,1,panǰom,fifth,panǰom,ADJ,NumType=Ord,NumType=Ord,_,root,_
Dk5-B-01_sentence_4,Dk5-B-01_mptf.csv,37,rasišnīg,approaching,rasišnīg,ADJ,_,_,24.0,acl:relcl,_
Dk5-B-01_sentence_7,Dk5-B-01_mptf.csv,22,passazag,fitting,passazag,ADJ,_,_,_,root,_
Dk5-B-01_sentence_12,Dk5-B-01_mptf.csv,7,hāwend,similar,hāwend,ADJ,_,_,26.0,advcl,_
Dk5-B-01_sentence_12,Dk5-B-01_mptf.csv,16,bowandag,complete,bowandag,ADJ,_,_,26.0,advcl,1.0:acl
Dk5-B-01_sentence_13,Dk5-B-01_mptf.csv,13,abardīdārīg,perceptible,abar-dīdārīg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_13,Dk5-B-01_mptf.csv,46,homānāg,similar,homānāg,ADJ,_,_,55.0,advcl,50.0:acl|52.0:acl|54.0:acl
Dk5-B-01_sentence_16,Dk5-B-01_mptf.csv,2,paydāg,clear,paydāg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_19,Dk5-B-01_mptf.csv,9,āškārag,open,āškārag,ADJ,_,_,10.0,advcl,2.0:acl
Dk5-B-01_sentence_21,Dk5-B-01_mptf.csv,3,bowandag,complete,bowandag,ADJ,_,_,5.0,obl,_
Dk5-B-01_sentence_23,Dk5-B-01_mptf.csv,15,ǰānōmand,animate,gyānōmand,ADJ,_,_,18.0,xcomp,14.0:acl
Dk5-B-01_sentence_25,Dk5-B-01_mptf.csv,26,dīdārīg,visible,dīdārīg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_30,Dk5-B-01_mptf.csv,11,hukunišn,of good behaviour,hukunišn,ADJ,_,_,10.0,nmod,_
Dk5-B-01_sentence_30,Dk5-B-01_mptf.csv,27,wēnābdāg,envisioning,wēnābdāg,ADJ,_,_,29.0,advcl,_
Dk5-B-01_sentence_36,Dk5-B-01_mptf.csv,11,paydāg,clear,paydāg,ADJ,_,_,2.0,acl:relcl,_
Dk5-B-01_sentence_36,Dk5-B-01_mptf.csv,16,gōwizār,explicit,gōwizār,ADJ,_,_,12.0,advcl,_
Dk5-B-01_sentence_40,Dk5-B-01_mptf.csv,4,polābdēn,steel,pōlāwadēn,ADJ,Typo=Yes,Typo=Yes,2.0,nmod,_
Dk5-B-01_sentence_46,Dk5-B-01_mptf.csv,12,gumēzišnīg,commingled,gumēzišnīg,ADJ,_,_,11.0,nmod,_
Dk5-B-01_sentence_50,Dk5-B-01_mptf.csv,8,wizīdag,selected,wizīdag,ADJ,_,_,17.0,advcl,_
Dk5-B-01_sentence_50,Dk5-B-01_mptf.csv,16,druyist,right,drust,ADJ,_,_,17.0,advcl,15.0:acl
Dk5-B-01_sentence_51,Dk5-B-01_mptf.csv,25,ōšmurišnīg,enumerated,ōšmurišn-īg,ADJ,_,_,23.0,acl:relcl,_
Dk5-B-01_sentence_52,Dk5-B-01_mptf.csv,17,awisēnišnīg,unseparable,a-wisānišnīg,ADJ,Typo=Yes,Typo=Yes,10.0,acl:relcl,12.0:acl:relcl
Dk5-B-01_sentence_54,Dk5-B-01_mptf.csv,15,waštag,deviated,waštag,ADJ,_,_,19.0,ccomp,17.0:csubj:xsubj
Dk5-B-01_sentence_54,Dk5-B-01_mptf.csv,17,rāst,right,rāst,ADJ,_,_,19.0,xcomp,15.0:acl
Dk5-B-01_sentence_60,Dk5-B-01_mptf.csv,8,wāzag,rule,wāzag,ADJ,_,_,_,root,20.0:nsubj
Dk5-B-01_sentence_62,Dk5-B-01_mptf.csv,4,nimūdār,explicating,nimūdār,ADJ,_,_,_,root,_
Dk5-B-01_sentence_63,Dk5-B-01_mptf.csv,18,spōzān,violating,spōzān,ADJ,Subcat=Tran|Tense=Pres|VerbForm=Part,Subcat=Tran|Tense=Pres|VerbForm=Part,11.0,acl,_
Dk5-B-01_sentence_64,Dk5-B-01_mptf.csv,6,anambasān,non-opposing,an-ambasān,ADJ,_,_,9.0,nsubj,_
Dk5-B-01_sentence_66,Dk5-B-01_mptf.csv,32,ast,existent,ast1,ADJ,_,_,29.0,nmod,_
Dk5-B-01_sentence_66,Dk5-B-01_mptf.csv,34,nēst,non-existent,nēst,ADJ,_,_,29.0,nmod,_
Dk5-B-01_sentence_69,Dk5-B-01_mptf.csv,9,nikōhīdag,despised,nikōhīdan,ADJ,_,_,12.0,advcl,15.0:acl|20.0:acl
Dk5-B-01_sentence_76,Dk5-B-01_mptf.csv,2,rōšn,bright,rōšn,ADJ,_,_,_,root,_
Dk5-B-01_sentence_77,Dk5-B-01_mptf.csv,2,tārīg,dark,tārīg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_80,Dk5-B-01_mptf.csv,19,hāwend,even,hāwend,ADJ,_,_,1.0,acl:relcl,_
Dk5-B-01_sentence_84,Dk5-B-01_mptf.csv,5,hušnūd,content,hušnūd,ADJ,_,_,8.0,xcomp,_
Dk5-B-01_sentence_85,Dk5-B-01_mptf.csv,17,passazag,fitting,passazag,ADJ,_,_,19.0,acl,_
Dk5-B-01_sentence_92,Dk5-B-01_mptf.csv,23,hangirdīg,concise,hangirdīg,ADJ,_,_,25.0,nmod,_
Dk5-B-01_sentence_92,Dk5-B-01_mptf.csv,54,hangirdīg,concise,hangirdīg,ADJ,_,_,59.0,nmod,_
Dk5-B-01_sentence_92,Dk5-B-01_mptf.csv,80,hangirdīg,concise,hangirdīg,ADJ,_,_,86.0,nmod,_
Dk5-B-01_sentence_97,Dk5-B-01_mptf.csv,4,paydāg,obvious,paydāg,ADJ,_,_,6.0,advcl,_
Dk5-B-01_sentence_97,Dk5-B-01_mptf.csv,11,meh,greatest,meh,ADJ,Degree=Cmp,Degree=Cmp,8.0,nmod,_
Dk5-B-01_sentence_97,Dk5-B-01_mptf.csv,38,paydāg,obvious,paydāg,ADJ,_,_,30.0,acl:relcl,_
Dk5-B-01_sentence_109,Dk5-B-01_mptf.csv,4,paydāg,clear,paydāg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_113,Dk5-B-01_mptf.csv,6,murdag,dead,murdag,ADJ,_,_,5.0,nmod,_
Dk5-B-01_sentence_115,Dk5-B-01_mptf.csv,7,rēman,filthy,rēman,ADJ,_,_,3.0,acl:relcl,_
Dk5-B-01_sentence_116,Dk5-B-01_mptf.csv,41,pāk,clean,pāk,ADJ,_,_,42.0,xcomp,_
Dk5-B-01_sentence_118,Dk5-B-01_mptf.csv,6,xwurdag,little,xwurdag,ADJ,_,_,9.0,obl,_
Dk5-B-01_sentence_120,Dk5-B-01_mptf.csv,19,āgāh,aware,āgāh,ADJ,_,_,_,root,_
Dk5-B-01_sentence_122,Dk5-B-01_mptf.csv,4,paydāg,revealed,paydāg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_123,Dk5-B-01_mptf.csv,77,mehmān,contained,mehmān,ADJ,_,_,73.0,acl:relcl,_
Dk5-B-01_sentence_124,Dk5-B-01_mptf.csv,7,abāzwaštag,repugnant,abāz-waštag,ADJ,_,_,3.0,acl:relcl,_
Dk5-B-01_sentence_124,Dk5-B-01_mptf.csv,27,rēman,dirty,rēman,ADJ,_,_,25.0,acl:relcl,_
Dk5-B-01_sentence_125,Dk5-B-01_mptf.csv,7,awizīrišnīg,indispensable,a-wizīrišnīg,ADJ,_,_,2.0,advcl,_
Dk5-B-01_sentence_127,Dk5-B-01_mptf.csv,3,brahnag,naked,brahnag,ADJ,_,_,_,root,_
