Sentence with root token ID 40 ('rasād'), mark dependent: ['kū'], sent id: dd-k35:4, newpar dd_ch0_sec1_subsec3
Sentence with root token ID 5 ('kāmag'), mark dependent: ['čē'], sent id: dd-k35:16, newpar dd_ch0_sec1_subsec11
Sentence with root token ID 22 ('saham'), mark dependent: ['kū'], sent id: dd-k35:38, newpar dd_ch0_sec1_subsec28
Sentence with root token ID 6 ('xrad'), mark dependent: ['kū'], sent id: dd-k35:40, newpar dd_ch1_sec2
Sentence with root token ID 6 ('dād'), mark dependent: ['kū'], sent id: dd-k35:60, newpar dd_ch2_sec2
Sentence with root token ID 25 ('hamgugāhīhist'), mark dependent: ['čē'], sent id: dd-k35:66, newpar dd_ch2_sec9
Sentence with root token ID 8 ('dām'), mark dependent: ['kū'], sent id: dd-k35:81, newpar dd_ch2_sec19
Sentence with root token ID 5 ('kāmišngarīh'), mark dependent: ['kū'], sent id: dd-k35:86, newpar dd_ch3_sec2
Sentence with root token ID 8 ('guft'), mark dependent: ['kū'], sent id: dd-k35:96, newpar dd_ch4_sec2
Sentence with root token ID 16 ('rasēd'), mark dependent: ['kū'], sent id: dd-k35:101, newpar dd_ch5_sec2
Sentence with root token ID 12 ('wēš'), mark dependent: ['kū'], sent id: dd-k35:104, newpar dd_ch5_sec3
Sentence with root token ID 10 ('nibišt'), mark dependent: ['kū'], sent id: dd-k35:115, newpar dd_ch6_sec2
Sentence with root token ID 7 ('ǰuttar'), mark dependent: ['kū'], sent id: dd-k35:137, newpar dd_ch8_sec2
Sentence with root token ID 20 ('ēstēd'), mark dependent: ['kū'], sent id: dd-k35:145, newpar dd_ch9_sec2
Sentence with root token ID 3 ('hangōšīdag'), mark dependent: ['čē'], sent id: dd-k35:151, newpar dd_ch20_sec5
Sentence with root token ID 7 ('tisān'), mark dependent: ['ī'], sent id: dk5-b:38, newpar dk5_ch3_sec3
Sentence with root token ID 4 ('šnāxtan'), mark dependent: ['kū'], sent id: dk5-b:65, newpar dk5_ch7_sec2
Sentence with root token ID 13 ('kunišn'), mark dependent: ['kē'], sent id: dk5-b:109, newpar dk5_ch11_sec3
