Subject UPOS: DET, Subject Form: ān | Newpart: dd_ch6_sec2 | Sentence id: dd-k35:116 | Text: ud ān ī winnārišn bawēd az spurrpādixšā ī dādār apādixšā druz
Subject UPOS: DET, Subject Form: ān | Newpart: dd_ch8_sec3 | Sentence id: dd-k35:139 | Text: ud andar ēkānag ī kirbag ān mādagwartar ī xwad ud pad xwēš ranǰ warzēd pas az ān az xwēš =iz pad xwēš , framāyišn rawāgēnēd ī pas az xwēš rāy handarzēnēd framāyēd bē ō rawāgīh rasēd ud pastar ān ī kas ōy rāy kunēnd
Subject UPOS: ADV, Subject Form: tēzsōgīhā | Newpart: dd_ch20_sec5 | Sentence id: dd-k35:150 | Text: čiyōn ān puhl dār homānāg ī was pahlūg kē =š pušt ast ī frāx ud ast ī bārīk ī tēz X u =š frāxsōgīhā ast ēdōn wuzurg ī =š wīsthaft nāy pahnāy u =š tēzsōgīhā ēdōn tund ī pad bārīkīh ēdōn čiyōn , awestarag tēx ud ka ahlawān ud druwandān ruwān rasēnd ō ān sōg ī =šān niyābīhā ast gardēd pad wuzurg xwarrah dādār , ud framān ī ōy ī rāstāmār puhlbān ahlawān frāxpuhlīh bawēd and čand nō nēzag bālāy ud drahnāy kē =š ǰud ǰud dērandīh se nāy , ud druwandān tundpuhlīh bawēd ī tā =z hangōšīdag ī ān ī awestarag tēx
Subject UPOS: SCONJ, Subject Form: ī | Newpart: dd_ch3_sec3 | Sentence id: dd-k35:92 | Text: u =š hamōšmur dēn kē =š dād xwēšēnišn dahibed windišn ast ī wardēnišn kē hutāšīd frašegird
Subject UPOS: DET, Subject Form: ān | Newpart: dk5_ch18_sec3 | Sentence id: dk5-b:150 | Text: ān ēč ēwēnag nē X tā pad kunišnīh čim
Subject UPOS: VERB, Subject Form: šustan | Newpart: dk5_ch23_sec27 | Sentence id: dk5-b:262 | Text: ud dast pad gōmēz ud tarrag šustan čim ,
Subject UPOS: VERB, Subject Form: andarhištan | Newpart: dk5_ch24_sec7 | Sentence id: dk5-b:289 | Text: ud pēš az ān zamān bērōn nē kirdan čim ēk awišōbišnīh ham hufrazāmkārīh kē rāy andarhištan =iz čim ,
Subject UPOS: ADJ, Subject Form: frahist | Newpart: dk5_ch24_sec13 | Sentence id: dk5-b:306 | Text: nūn =iz frahist pad =iz nibēgīhā pād ēstēd čiyōn andar āgāhān paydāg
Subject UPOS: ADJ, Subject Form: druyistdār | Newpart: 5.24.16a | Sentence id: dk5-b:328 | Text: druyistdār ī ham saxwan pad gyāg
Subject UPOS: ADJ, Subject Form: grāytar | Newpart: 5.24.19b | Sentence id: dk5-b:349 | Text: nē ēwāz pid bē šusr ud xōn abārīg =iz ī hixr xwānīhēd az =iš ān ī grāytar daštān murdag bahr ī az ān ī ō frazend hambunīgīh winast kē rāy pad =iš mehmānīh windēd
Subject UPOS: DET, Subject Form: ān | Newpart: dk5_ch4_sec2 | Sentence id: dk5-b:45 | Text: ān ōwōn wehīh ud xwarrah , did pad čīdagīh az bun gumēzišnīg tā čē abarmadan ī nōg nōg āhōgōmandīh ī az dēwān andar frazendān ī frawāg ō hōšyang ud wāygard čiyōn hōšyang pad abardar xwarrahīh gēhān xwadāy ud wāygard pad dahigānīh gēhān warzīdār ud parwardār būd
